ID,名称,品类,SPU,折扣价,售价,状态,库存,加购数,采购价,访问数,7天销量,30天销量,转化率
16893,"Men's fashionable denim shorts with perforated webbing",男装/男装-男下装-短裤（Shorts）,274888,$32.00,$32.00,已上架,500000,0,0.00,0,0,0,0.00
16892,"Men's African Print Blazer",男装/男装-男上装-西装（BusinessSuit）,274891,$68.99,$68.99,已上架,600000,0,0.00,0,0,0,0.00
16890,"African Print Color Block T-Shirt",男装/男装-男上装-T恤（T-Shirt）,274890,$28.99,$28.99,已上架,600000,0,0.00,0,0,0,0.00
16891,"Men's African Print long-sleeved blouses",男装/男装-男上装-衬衫（Blouses）,274889,$40.99,$40.99,已上架,600000,0,0.00,0,0,0,0.00
16889,"Exaggerated metal wide brim pattern bracelet",服饰/服饰-手镯&手链(Bracelets),274872,$4.89,$4.89,已上架,200000,1,0.00,2,0,0,0.00
16888,"Women's printed long sleeve coat",女装/女装-女上装-风衣（Coats）,274868,$35.99,$35.99,已上架,600000,0,0.00,2,0,0,0.00
16886,"National print V-neck puff sleeve shirt",女装/女装-女上装-衬衫（Blouses）,274869,$23.89,$23.89,已上架,600000,1,0.00,7,0,0,0.00
16887,"Ethnic print loose sexy strapless dress",女装/女装-裙子-连衣裙（Dresses）,274870,$31.99,$31.99,已上架,600000,0,0.00,0,0,0,0.00
16885,"Women's printed bomber jacket","女装/女装-女上装-夹克( Jackets)",274867,$39.99,$39.99,已上架,600000,0,0.00,3,0,0,0.00
16884,"Ethnic print long short sleeve shirt",女装/女装-女上装-衬衫（Blouses）,274871,$28.99,$28.99,已上架,600000,0,0.00,3,0,0,0.00
16883,"Ethnic print round neck irregular split pants suit","女装/女装-裤子套装（Pant Suits）",274863,$32.99,$32.99,已上架,1500000,0,0.00,6,0,0,0.00
16882,"Pure color slim irregular long shirt",女装/女装-女上装-衬衫（Blouses）,274866,$29.89,$29.89,已上架,1000000,1,0.00,2,0,0,0.00
16880,"Plus size ethnic print pants suit","女装/女装-裤子套装（Pant Suits）",274862,$43.89,$43.89,已上架,500000,0,0.00,1,0,0,0.00
16881,"Ethnic print sexy color striped pants suit","女装/女装-裤子套装（Pant Suits）",274861,$33.98,$33.98,已上架,400000,0,0.00,2,0,0,0.00
16879,"Ethnic print round neck irregular hem T-shirt",女装/女装-女上装-T恤(T-Shirts),274865,$32.89,$32.89,已上架,400000,0,0.00,3,0,0,0.00
16878,"Oversized ethnic print striped vest jumpsuit",女装/女装-女下装-连体裤（Rompers）,274864,$36.99,$36.99,已上架,400000,0,0.00,0,0,0,0.00
16877,"Women's casual printed cardigan",女装/女装-女上装-风衣（Coats）,274856,$35.99,$35.99,已上架,600000,0,0.00,1,0,0,0.00
16875,"National print plus size sexy dress",女装/女装-裙子-连衣裙（Dresses）,274860,$43.89,$43.89,已上架,500000,0,0.00,1,0,0,0.00
16876,"Women's casual printed cardigan",女装/女装-女上装-风衣（Coats）,274857,$35.99,$35.99,已上架,600000,0,0.00,2,0,0,0.00
16872,"Women's printed long-sleeved cardigan",女装/女装-女上装-风衣（Coats）,274851,$35.99,$35.99,已上架,600000,0,0.00,0,0,0,0.00
16868,"Women's casual printed cardigan",女装/女装-女上装-风衣（Coats）,274858,$35.99,$35.99,已上架,600000,0,0.00,2,0,0,0.00
16873,"Women's printed long-sleeved cardigan",女装/女装-女上装-风衣（Coats）,274854,$35.99,$35.99,已上架,600000,0,0.00,0,0,0,0.00
16869,"Women's casual printed cardigan",女装/女装-女上装-风衣（Coats）,274859,$35.99,$35.99,已上架,600000,0,0.00,0,0,0,0.00
16874,"Women's casual printed cardigan",女装/女装-女上装-风衣（Coats）,274853,$35.99,$35.99,已上架,599999,1,0.00,2,1,1,0.50
16870,"Women's casual printed cardigan",女装/女装-女上装-风衣（Coats）,274855,$35.99,$35.99,已上架,600000,0,0.00,0,0,0,0.00
16871,"Women's printed long-sleeved cardigan",女装/女装-女上装-风衣（Coats）,274852,$35.99,$35.99,已上架,600000,0,0.00,1,0,0,0.00
16867,"Men's casual printed short-sleeved T-shirt",男装/男装-男上装-T恤（T-Shirt）,274843,$23.99,$23.99,已上架,600000,2,0.00,3,0,0,0.00
16865,"Men's dashiki print short sleeve T-shirt",男装/男装-男上装-T恤（T-Shirt）,274846,$23.99,$23.99,已上架,600000,0,0.00,1,0,0,0.00
16866,"Men's casual printed short-sleeved T-shirt",男装/男装-男上装-T恤（T-Shirt）,274844,$23.99,$23.99,已上架,600000,1,0.00,5,0,0,0.00
16859,"African Print Color Blocked Hoodie",男装/男装-男上装-卫衣（Sweatshirt）,274848,$38.99,$38.99,已上架,600000,1,0.00,8,0,0,0.00
16861,"African Print Stripe Jogger",男装/男装-男下装-运动裤（Sweatpants）,274849,$38.99,$38.99,已上架,600000,1,0.00,3,0,0,0.00
16858,"Men's casual printed short-sleeved T-shirt",男装/男装-男上装-T恤（T-Shirt）,274845,$23.99,$23.99,已上架,600000,0,0.00,2,0,0,0.00
16863,"Women's casual short sleeve printed dress",女装/女装-裙子-连衣裙（Dresses）,274850,$21.99,$21.99,已上架,600000,0,0.00,1,0,0,0.00
16862,"Men's Long Sleeve Printed Trench Coat",男装/男装-男上装-风衣（Coat）,274841,$56.99,$56.99,已上架,600000,1,0.00,5,0,0,0.00
16860,"Men's dashiki print short sleeve T-shirt",男装/男装-男上装-T恤（T-Shirt）,274847,$23.99,$23.99,已上架,600000,0,0.00,3,0,0,0.00
16864,"Men's casual printed long-sleeved shirt",男装/男装-男上装-衬衫（Blouses）,274842,$27.99,$27.99,已上架,600000,0,0.00,1,0,0,0.00
16854,"Women's African print slit long shirt",女装/女装-女上装-衬衫（Blouses）,273535,$32.99,$32.99,已上架,600000,1,0.00,1,0,0,0.00
16855,"Women's Dashiki print lace-up shirt",女装/女装-女上装-衬衫（Blouses）,273537,$25.99,$25.99,已上架,500000,0,0.00,3,0,0,0.00
16856,"Women's African print slit long shirt",女装/女装-女上装-衬衫（Blouses）,273534,$31.99,$31.99,已上架,500000,0,0.00,3,0,0,0.00
